layer,feature,label,f1_score,accuracy,precision,recall,main_theme,sub_theme
10,138,"Financial market terms and economic indicators, including peaks, bottoms, and technical levels.",0.634,0.538,0.812,0.52,And & Economic,And Economic
22,276,"Stock market and financial news, focusing on specific companies and performance metrics.",0.734,0.58,1.0,0.58,And & Metrics,And Tech
28,354,End of sentences in financial and stock-related content,0.727,0.657,0.667,0.8,Stock & And,End Sentences
22,279,Financial market sentiment and specific investment actions,0.832,0.738,0.824,0.84,And & Economic,And Contexts
16,113,"Business and financial contexts, involving companies, products, and performance metrics.",0.83,0.723,0.786,0.88,And & Metrics,Contexts And
4,163,"Economic and geopolitical events, conflicts, market indicators, key figures",0.774,0.677,0.837,0.72,And & Economic,And Economic
28,236,Conjunctions and transitional phrases linking ideas or providing context,0.226,0.262,0.583,0.14,And & Contexts,And Punctuation
4,137,"Financial and business terms, focusing on market performance and strategic positioning.",0.788,0.662,0.774,0.804,And & Contexts,And Performance
10,248,"End of sentences, marked by periods.",0.167,0.6,1.0,0.091,Stock & And,End Sentences
16,313,"Financial and technical terms related to dividends, growth, and product specifications.",0.763,0.646,0.787,0.74,And & Time,And Technical
22,23,"Structural elements like punctuation, numbers, and short words",0.755,0.631,0.787,0.725,And & Contexts,And Elements
22,395,Conjunctions and relative pronouns introducing clauses in financial and technical contexts,0.582,0.492,0.793,0.46,And & Time,And Technical
4,257,Numerical values and dates in financial contexts,0.721,0.631,0.861,0.62,And & Contexts,And Values
16,52,Numbers in financial or temporal contexts,0.812,0.708,0.82,0.804,And & Contexts,And Contexts
4,321,Financial metrics and growth indicators in business contexts,0.675,0.585,0.848,0.56,And & Metrics,And Metrics
22,359,"Transitions or shifts in business, market, or economic contexts",0.763,0.646,0.787,0.74,And & Contexts,And Contexts
4,279,Financial and stock market punctuation and symbols,0.472,0.415,0.773,0.34,And & Economic,And Contexts
22,125,Financial transactions and investment activities,0.747,0.615,0.755,0.74,And & Contexts,And Contexts
10,292,Financial actions and support in business contexts,0.551,0.38,1.0,0.38,And & Contexts,And Contexts
10,320,"Specific time periods and recent events, often marked by precise dates or quarters.",0.557,0.462,0.759,0.44,And & Time,Time Periods
4,123,Connecting words in financial and business contexts,0.768,0.646,0.776,0.76,And & Contexts,And Contexts
10,309,Competition and market pressure from specific companies or regions,0.308,0.308,0.667,0.2,And & Contexts,And Tech
16,153,"Financial and market-related terms, including company names and stock symbols",0.848,0.769,0.857,0.84,And & Names,And Names
4,360,Positive or negative financial outcomes and investor sentiment,0.564,0.477,0.786,0.44,And & Contexts,And Contexts
28,229,End-of-sentence or section markers in financial and news articles,0.579,0.508,0.846,0.44,And & Contexts,Sentence End
28,219,Sentence boundary marker,0.462,0.6,1.0,0.3,Sentence & Marker,Sentence Boundary
16,63,Geographic locations and market segments,0.413,0.431,1.0,0.26,And & Contexts,And Contexts
10,213,"Sentence boundary marker, specifically periods.",0.7,0.76,0.7,0.7,Sentence & Marker,Sentence Boundary
16,345,"Financial and market-related terms, focusing on specific sectors and concepts.",0.781,0.646,0.745,0.82,And & Economic,And Stock
28,241,Common financial and business terms in stock and market discussions,0.76,0.631,0.76,0.76,And & Contexts,And Performance
10,301,Financial uncertainty and market volatility,0.472,0.415,0.773,0.34,And & Economic,And Contexts
22,124,"Articles \""a\"" and \""A\"" in tech and finance contexts",0.56,0.492,0.875,0.412,And & Contexts,And Tech
22,324,Business and economic events or actions,0.815,0.692,0.759,0.88,And & Contexts,And Contexts
16,306,Names and abbreviations of financial figures and companies,0.848,0.769,0.857,0.84,And & Contexts,And Values
28,10,"Financial and market-related terms, including investments, stocks, and performance metrics.",0.822,0.708,0.772,0.88,And & Economic,And Stock
4,277,Financial and business-related terms and activities,0.867,0.769,0.79,0.961,And & Contexts,And Concepts
28,207,"News articles and tech product launches, emphasizing YouTube and TikTok shopping features.",0.113,0.277,1.0,0.06,And & Contexts,And Tech
28,212,Financial metrics and large monetary values,0.658,0.585,0.897,0.52,And & Metrics,And Metrics
16,378,Financial and market-related terms and trends,0.87,0.785,0.825,0.922,And & Economic,And Stock
4,178,"Financial and economic terms, focusing on market and fiscal performance.",0.882,0.815,0.882,0.882,And & Economic,And Economic
10,335,Punctuation marks denote specific segments in technical/financial text,0.796,0.692,0.812,0.78,And & Contexts,Sentence And
16,389,"Focus on punctuation and short word segments, often denoting text boundaries.",0.689,0.569,0.775,0.62,And & Contexts,And Words
10,134,"Financial and business-related terms, including stocks, companies, and economic indicators.",0.807,0.677,0.746,0.88,And & Contexts,And Concepts
16,332,Beginning and significant parts of company names and financial terms,0.863,0.785,0.846,0.88,And & Names,And Names
10,351,"Specific company names, financial terms, and punctuation in financial news",0.723,0.6,0.773,0.68,And & Names,And Names
10,327,Financial news metadata and specific terms,0.787,0.708,0.897,0.7,And & Contexts,And News
16,336,Structure and flow of financial and market-related content,0.667,0.523,0.721,0.62,And & Economic,And Stock
4,382,Pronouns linking specific details to broader topics or entities,0.474,0.385,0.692,0.36,And & Contexts,And Tech
28,186,"Business and financial contexts, company performance, market positions, strategic actions",0.811,0.692,0.768,0.86,And & Contexts,Contexts And
22,95,Corporate financial performance and strategic actions,0.848,0.785,0.951,0.765,And & Contexts,And Performance
4,352,"Financial terms, institutions, and market trends",0.818,0.692,0.763,0.882,And & Economic,And Contexts
22,281,Financial and company-related terms and symbols,0.792,0.662,0.75,0.84,And & Contexts,And Contexts
22,379,Financial and business news key terms and trends,0.969,0.94,1.0,0.94,And & Contexts,And Words
22,243,Middle East conflict and geopolitical tensions affecting oil and markets.,0.179,0.292,1.0,0.098,And & Contexts,And Contexts
16,61,Economic indicators and financial performance metrics,0.635,0.523,0.771,0.54,And & Metrics,And Performance
28,124,"Company actions, market dynamics, and financial metrics",0.781,0.646,0.745,0.82,And & Metrics,And Metrics
22,35,Financial and market-related terms and concepts,0.781,0.646,0.745,0.82,And & Economic,And Stock
16,376,Company names and stock-related financial metrics,0.698,0.6,0.833,0.6,And & Names,And Names
16,324,Transitional and connecting words linking ideas or providing context,0.455,0.446,0.938,0.3,And & Contexts,And Words
10,219,End of sentence or statement marker,0.167,0.6,1.0,0.091,Sentence & Marker,Sentence End
4,389,Introductory phrases or clauses providing context or examples,0.388,0.369,0.812,0.255,And & Contexts,And Punctuation
4,312,Punctuation marks for contractions and titles,0.412,0.385,0.778,0.28,And & Contexts,Sentence And
4,143,Recent market developments and news updates,0.612,0.492,0.743,0.52,And & Contexts,And News
22,7,"Financial and business entities, roles, and actions",0.588,0.44,0.435,0.909,And & Contexts,And Contexts
22,104,Specific characters and short words in financial and tech contexts,0.873,0.785,0.814,0.941,And & Contexts,And Words
22,314,Financial and business terms related to company performance and market dynamics,0.796,0.677,0.774,0.82,And & Contexts,And Performance
28,353,"Quotation marks, financial terms, and punctuation in news articles",0.3,0.354,0.9,0.18,And & Contexts,And News
16,110,End of sentences in financial and stock-related contexts.,0.56,0.56,0.5,0.636,Stock & And,End Sentences
16,79,Actions and changes in financial and market contexts,0.708,0.569,0.756,0.667,And & Economic,And Contexts
4,59,Financial and investment-related terms and company names,0.98,0.96,1.0,0.96,And & Names,And Names
28,20,Financial figures and percentages,0.633,0.554,0.862,0.5,And & Contexts,And Values
10,260,Financial metrics and market actions,0.747,0.615,0.755,0.74,And & Metrics,And Metrics
10,308,Large financial figures and percentages,0.63,0.585,1.0,0.46,And & Contexts,And Values
16,133,"Financial and stock-related content, including company names and financial terms.",0.936,0.88,1.0,0.88,And & Names,And Names
22,227,"Demonstrative pronouns and articles referring to specific, recent events or entities.",0.4,0.354,0.7,0.28,And & Contexts,And Tech
4,185,"Financial and economic terms, focusing on market dynamics and financial metrics.",0.768,0.646,0.776,0.76,And & Economic,And Economic
22,302,"Financial market events, stock movements, announcements, and economic indicators",0.75,0.631,0.783,0.72,And & Economic,And Economic
10,281,"Geopolitical and economic entities, with a focus on the United States and global players.",0.514,0.446,0.792,0.38,And & Contexts,And Contexts
28,150,Financial metrics and business events,0.792,0.662,0.75,0.84,And & Metrics,And Metrics
16,200,"Business and financial actions, entities, and key actors",0.833,0.723,0.776,0.9,And & Contexts,And Contexts
10,380,"Stock symbols, financial metrics, and market-related terms",0.772,0.646,0.78,0.765,And & Metrics,And Stock
16,229,Punctuation and sentence delimiters,0.267,0.323,0.889,0.157,And & Contexts,Sentence And
28,390,Common function words in financial and technical contexts,0.8,0.677,0.764,0.84,And & Time,And Technical
16,109,End of sentences in financial and stock-related content.,0.385,0.36,0.333,0.455,Stock & And,End Sentences
28,247,"Financial and market-related terms, focusing on stock performance and economic indicators.",0.913,0.84,1.0,0.84,And & Economic,And Stock
10,6,"Financial and economic terms, often related to stock performance and market indicators.",0.78,0.662,0.78,0.78,And & Economic,And Economic
16,112,"Financial terms starting with \""h\"" in market contexts",0.4,0.4,0.867,0.26,And & Economic,And Contexts
10,109,"Sentence boundary marker, specifically end of sentence",0.235,0.48,0.333,0.182,Sentence & Marker,Sentence Boundary
16,391,"Movement, change, or progression in various contexts",0.706,0.615,0.882,0.588,And & Contexts,And Contexts
22,70,Economic indicators and financial market trends,0.763,0.646,0.787,0.74,And & Economic,And Economic
10,270,Years in financial and market contexts,0.725,0.662,0.967,0.58,And & Economic,And Contexts
16,349,"Punctuation marks, especially periods, in financial or technical contexts",0.772,0.646,0.765,0.78,And & Time,And Technical
16,150,Punctuation and short words in financial contexts,0.738,0.585,0.731,0.745,And & Contexts,And Words
4,154,Large financial figures in business and stock market contexts,0.507,0.492,1.0,0.34,And & Contexts,And Values
22,286,"Financial and economic terms, often related to market performance and trends.",0.857,0.769,0.833,0.882,And & Economic,And Economic
28,289,"Financial metrics, stock performance, and economic indicators",0.737,0.615,0.795,0.686,And & Metrics,And Performance
16,316,Punctuation and short words as delimiters in financial text,0.784,0.677,0.809,0.76,And & Contexts,And Words
28,133,Financial metrics and changes,0.675,0.6,0.9,0.54,And & Metrics,And Metrics
28,291,Financial and temporal markers in text,0.796,0.677,0.774,0.82,And & Contexts,And Contexts
16,184,"Financial and economic terms, focusing on market activities and metrics",0.812,0.708,0.82,0.804,And & Economic,And Economic
22,308,Stock-related terms and financial performance indicators,0.725,0.569,0.712,0.74,And & Economic,And Performance
4,20,Time periods and intervals in financial and business contexts,0.75,0.662,0.868,0.66,And & Time,Time Periods
10,119,Single quotes and number '2' in financial and stock contexts,0.382,0.354,0.722,0.26,And & Contexts,And Contexts
